"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"e:\Fernando Herrera\Nest\distritosiete\src\googlevision\googlevision.controller.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"e:\Fernando Herrera\Nest\distritosiete\src\googlevision\googlevision.module.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
"e:\Fernando Herrera\Nest\distritosiete\src\googlevision\googlevision.service.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 12, 32
"e:\Fernando Herrera\Nest\distritosiete\src\infraestructuras\dto\create-infraestructura.dto.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"e:\Fernando Herrera\Nest\distritosiete\src\infraestructuras\dto\update-infraestructura.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 3, 7
"e:\Fernando Herrera\Nest\distritosiete\src\infraestructuras\entities\infraestructura.entity.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 11, 33
"e:\Fernando Herrera\Nest\distritosiete\src\infraestructuras\infraestructuras.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"e:\Fernando Herrera\Nest\distritosiete\src\infraestructuras\infraestructuras.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"e:\Fernando Herrera\Nest\distritosiete\src\infraestructuras\infraestructuras.service.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 2, 56, 143
"e:\Fernando Herrera\Nest\distritosiete\src\main.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 8, 36
"e:\Fernando Herrera\Nest\distritosiete\src\mantenimientos\dto\create-mantenimiento.dto.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 7, 48
"e:\Fernando Herrera\Nest\distritosiete\src\mantenimientos\dto\update-mantenimiento.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 3, 7
"e:\Fernando Herrera\Nest\distritosiete\src\mantenimientos\entities\mantenimiento.entity.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 12, 53
"e:\Fernando Herrera\Nest\distritosiete\src\mantenimientos\mantenimientos.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"e:\Fernando Herrera\Nest\distritosiete\src\mantenimientos\mantenimientos.module.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 2, 17
"e:\Fernando Herrera\Nest\distritosiete\src\mantenimientos\mantenimientos.service.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 2, 55, 146
"e:\Fernando Herrera\Nest\distritosiete\src\seed\data\seed-data.ts", "TypeScript", 0, 0, 0, 446, 0, 0, 0, 43, 489
"e:\Fernando Herrera\Nest\distritosiete\src\seed\seed.controller.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 1, 5, 20
"e:\Fernando Herrera\Nest\distritosiete\src\seed\seed.module.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 6, 40
"e:\Fernando Herrera\Nest\distritosiete\src\seed\seed.service.ts", "TypeScript", 0, 0, 0, 186, 0, 0, 0, 115, 301
"e:\Fernando Herrera\Nest\distritosiete\src\telegram\dto\createmessage-telegram.dto.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 5, 23
"e:\Fernando Herrera\Nest\distritosiete\src\telegram\telegram.controller.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 7, 18
"e:\Fernando Herrera\Nest\distritosiete\src\telegram\telegram.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\telegram\telegram.service.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 6, 28
"e:\Fernando Herrera\Nest\distritosiete\src\tipocolegios\dto\create-tipocolegio.dto.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
